Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,Open.CREDIT.Lines,Revolving.CREDIT.Balance
16000,16000,0.16,60 months,car,0.12,RENT,5250,14,154
17350,7019.25,0.14,36 months,debt_consolidation,0.19,OWN,3666.67,8,18966
8000,7975,0.08,36 months,car,0.3,MORTGAGE,5583.33,9,6065
7200,7200,0.08,36 months,debt_consolidation,0.08,RENT,5666.67,5,8783
20125,20125,0.08,36 months,home_improvement,0.04,MORTGAGE,3750,13,73952
12000,11875,0.09,36 months,debt_consolidation,0.12,RENT,5000,11,14717
1000,1850,0.12,36 months,home_improvement,0.21,MORTGAGE,3448.33,10,18749
3200,3200,0.17,36 months,home_improvement,0.08,MORTGAGE,2500,7,6619
12725,12725,0.11,36 months,debt_consolidation,0.22,RENT,4416.67,23,4079
5500,5500,0.19,36 months,credit_card,0.04,RENT,12000,2,0
15650,15650,0.22,36 months,house,0.14,RENT,3700,5,10605
9000,9000,0.17,36 months,credit_card,0.25,RENT,5166.67,14,5852
5000,5000,0.12,36 months,major_purchase,0.04,RENT,5577,3,1069
3000,3000,0.1,36 months,debt_consolidation,0.15,RENT,3083.33,11,3098
20000,19975,0.24,60 months,debt_consolidation,0.09,MORTGAGE,11250,5,11168
5450,5450,0.07,60 months,other,0.02,MORTGAGE,4600,14,4326
14000,14000,0.12,36 months,debt_consolidation,0.11,MORTGAGE,4500,22,18583
8800,8799.04,0.1,60 months,credit_card,0.22,RENT,3750,11,18694
3000,212,0.17,36 months,other,0.16,RENT,7952,4,12578
32000,32000,0.17,60 months,debt_consolidation,0.16,RENT,9250,15,32566
22250,22250,0.21,60 months,debt_consolidation,0.29,RENT,4166.67,15,14107
7325,7300,0.18,60 months,debt_consolidation,0.2,OWN,3000,6,13583
16450,16450,0.11,36 months,debt_consolidation,0.08,RENT,7500,5,2928
2500,2500,0.13,36 months,debt_consolidation,0.16,RENT,1100,6,5019
6000,6000,0.1,36 months,other,0.08,MORTGAGE,2625,4,5167
27575,27575,0.14,36 months,debt_consolidation,0.2,MORTGAGE,5166.67,6,8720
1000,1000,0.09,36 months,educational,0.11,OWN,4583.33,22,17069
12000,12000,0.11,36 months,debt_consolidation,0.13,RENT,2708.33,8,12150
30000,30000,0.1,36 months,debt_consolidation,0.22,MORTGAGE,8000,14,33218
13500,13500,0.14,.,debt_consolidation,0.32,RENT,4166.67,11,31168
9000,9000,0.16,36 months,debt_consolidation,0.23,MORTGAGE,3250,9,16480
15000,15000,0.1,36 months,debt_consolidation,0.09,MORTGAGE,4250,11,11615
5300,5300,0.08,36 months,medical,0.13,RENT,5500,8,9996
7000,7000,0.13,36 months,debt_consolidation,0.17,RENT,3650,12,6444
20000,19975,0.16,36 months,debt_consolidation,0.12,RENT,9166.67,10,12421
15000,14993.57,0.18,60 months,debt_consolidation,0.14,RENT,2916.67,4,12786
8000,8000,0.14,36 months,home_improvement,0.12,RENT,5000,10,1275
24000,23947.48,0.19,60 months,debt_consolidation,0.04,RENT,7500,6,8568
7500,7500,0.09,36 months,debt_consolidation,0.1,RENT,5500,9,2382
17000,16875,0.12,36 months,debt_consolidation,0.13,RENT,4583.33,5,3644
12000,12000,0.17,36 months,credit_card,0.15,OWN,4583.33,12,9145
6000,6000,0.15,36 months,other,0.16,RENT,3833.33,11,5760
6725,825,0.13,36 months,debt_consolidation,0.13,MORTGAGE,5000,10,5513
4500,4500,0.07,36 months,debt_consolidation,0.15,MORTGAGE,2666.67,7,2705
1600,1600,0.11,36 months,other,0.05,RENT,2427,5,7020
10000,10000,0.18,36 months,wedding,0.3,OWN,2500,5,8379
18550,18525,0.08,36 months,debt_consolidation,0.17,MORTGAGE,5416.67,10,28877
7450,7450,0.13,36 months,debt_consolidation,0.03,MORTGAGE,5883.33,2,6416
3225,3225,0.08,36 months,debt_consolidation,0.18,MORTGAGE,5833.33,5,70323
23675,23675,0.18,36 months,credit_card,0.3,OWN,6399,21,21920
12000,12000,0.12,36 months,debt_consolidation,0.19,RENT,5833.33,16,18838
25000,25000,0.16,36 months,debt_consolidation,0.18,RENT,6000,9,10630
16000,15850,0.11,36 months,credit_card,0.18,MORTGAGE,6666.67,7,18659
4200,4175,0.09,36 months,car,0.1,MORTGAGE,3041.67,4,1548
10000,10000,0.14,36 months,debt_consolidation,0.21,RENT,4583.33,11,8548
6000,212,0.08,36 months,home_improvement,0.03,MORTGAGE,4800,4,1442
6000,6000,0.13,36 months,debt_consolidation,0.15,RENT,3333.33,7,12503
7925,7925,0.16,36 months,debt_consolidation,0.21,RENT,2000,6,7840
16000,15925,0.08,36 months,debt_consolidation,0.06,MORTGAGE,6000,8,19539
9525,9500,0.16,36 months,small_business,0.11,RENT,2666.67,15,5610
6000,6000,0.14,36 months,debt_consolidation,0.14,MORTGAGE,2500,9,3621
10000,9975,0.15,36 months,debt_consolidation,0.12,MORTGAGE,5250,4,3035
7000,7000,0.07,36 months,major_purchase,0.08,MORTGAGE,10000,9,6761
4500,4500,0.06,36 months,debt_consolidation,0.18,MORTGAGE,10000,18,17863
12000,12000,0.11,36 months,debt_consolidation,0.02,MORTGAGE,12500,13,10944
10375,10375,0.2,36 months,debt_consolidation,0.05,RENT,4166.67,9,6122
4800,4800,0.19,36 months,other,0.11,MORTGAGE,5833.33,4,17943
6400,6400,0.13,36 months,credit_card,0.11,MORTGAGE,4666.67,7,8942
5000,5000,0.08,36 months,debt_consolidation,0.17,OWN,4000,10,6023
12000,12000,0.07,36 months,credit_card,0.22,RENT,5250,11,20639
23850,23820.25,0.21,60 months,other,0.19,MORTGAGE,4250,23,37251
15000,15000,0.11,36 months,small_business,0.16,MORTGAGE,7083.33,14,338
8000,8000,0.08,36 months,other,0,MORTGAGE,3500,7,0
20000,20000,0.06,36 months,credit_card,0.19,MORTGAGE,14583.33,9,29044
20000,19975,0.13,36 months,debt_consolidation,0.15,RENT,8233.33,17,29756
10000,10000,0.14,36 months,debt_consolidation,0.11,RENT,2916.67,9,10390
18825,18825,0.14,36 months,credit_card,0.13,RENT,4000,6,20694
35000,34975,0.08,36 months,small_business,0.02,RENT,18333.33,10,1992
9000,9000,0.06,36 months,vacation,0.06,MORTGAGE,9583.33,11,675
4000,4000,0.06,36 months,home_improvement,0.15,RENT,4234,5,587
5750,5750,0.14,36 months,credit_card,0.12,RENT,5000,13,12465
20950,20950,0.16,36 months,debt_consolidation,0.16,MORTGAGE,12916.67,8,30188
8000,8000,0.11,36 months,credit_card,0.15,RENT,7500,9,7120
10000,10000,0.1,36 months,debt_consolidation,0.09,MORTGAGE,3333.33,8,8940
10000,10000,0.14,36 months,small_business,0.15,RENT,5000,7,4762
14000,14000,0.06,36 months,credit_card,0.2,MORTGAGE,6000,13,4140
5000,5000,0.08,36 months,credit_card,0.03,RENT,9000,3,12297
25000,25000,0.19,60 months,debt_consolidation,0.11,MORTGAGE,6250,8,15159
35000,35000,0.09,36 months,debt_consolidation,0.15,RENT,10416.67,9,21321
7200,7175,0.11,36 months,debt_consolidation,0.28,MORTGAGE,3750,8,20342
14000,14000,0.08,60 months,debt_consolidation,0.1,MORTGAGE,9000,17,23773
15000,14975,0.15,36 months,debt_consolidation,0.19,RENT,5132,4,34044
25000,25000,0.2,60 months,debt_consolidation,0.32,OWN,4916.67,21,35208
10800,10800,0.15,36 months,debt_consolidation,0.08,RENT,9583.33,6,6487
20000,20000,0.14,36 months,credit_card,0.21,MORTGAGE,6250,9,14268
4000,4000,0.11,36 months,debt_consolidation,0.02,RENT,2900,13,1869
16000,15950,0.16,36 months,debt_consolidation,0.24,MORTGAGE,9333.33,20,12721
1400,1400,0.1,36 months,vacation,0.27,MORTGAGE,4683.33,6,6466
7500,7500,0.16,36 months,debt_consolidation,0.13,MORTGAGE,4600,3,6120
24625,917.28,0.14,36 months,credit_card,0.13,MORTGAGE,10000,14,33698
5000,5000,0.14,36 months,debt_consolidation,0.29,MORTGAGE,5416.67,11,3977
25000,24975,0.1,36 months,debt_consolidation,0.2,RENT,7916.67,14,27203
7500,7500,0.16,36 months,debt_consolidation,0.13,RENT,4166.67,8,7430
34500,34450,0.07,36 months,small_business,0.16,MORTGAGE,10000,4,5317
10000,10000,0.06,36 months,debt_consolidation,0.06,MORTGAGE,12500,17,75629
3200,3200,0.1,36 months,debt_consolidation,0.07,RENT,4500,7,3198
5500,5500,0.16,60 months,debt_consolidation,0.18,RENT,4250,16,13256
3000,3000,0.1,36 months,debt_consolidation,0.22,OWN,1100,4,2413
18000,18000,0.23,60 months,debt_consolidation,0.09,RENT,7083.33,6,13106
10000,9700,0.1,36 months,debt_consolidation,0.14,MORTGAGE,4190,6,1251
8800,8800,0.13,36 months,credit_card,0.17,RENT,3150.25,13,14266
7000,7000,0.11,36 months,debt_consolidation,0.23,MORTGAGE,6000,17,19634
8000,8000,0.13,36 months,debt_consolidation,0.19,RENT,2625,8,7554
3000,3000,0.17,36 months,credit_card,0.17,RENT,3833.33,4,4136
12000,11975,0.08,36 months,debt_consolidation,0.12,RENT,7500,18,33702
3600,3575,0.14,36 months,small_business,0,RENT,2500,4,1
11625,11625,0.14,36 months,debt_consolidation,0.23,MORTGAGE,2833.33,6,27411
30000,30000,0.21,36 months,credit_card,0.17,MORTGAGE,12500,14,19096
16000,16000,0.09,36 months,debt_consolidation,0.2,RENT,7083.33,11,6185
10800,10700,0.11,36 months,major_purchase,0.15,MORTGAGE,8400,6,24675
25000,23655.48,0.17,60 months,debt_consolidation,0.14,MORTGAGE,7666.67,15,28748
10000,10000,0.14,60 months,other,0.15,RENT,3916.67,9,5188
12375,275,0.11,36 months,small_business,0.16,MORTGAGE,3892.75,11,8332
6000,6000,0.11,36 months,credit_card,0.18,MORTGAGE,5031.67,9,50935
8000,8000,0.13,36 months,debt_consolidation,0.15,RENT,5000,18,4786
15000,15000,0.18,36 months,credit_card,0.1,MORTGAGE,5000,11,14596
7000,7000,0.18,36 months,other,0.32,RENT,3333.33,12,35604
8400,8400,0.07,36 months,renewable_energy,0.13,RENT,3000,9,6998
15000,15000,0.08,36 months,debt_consolidation,0.19,MORTGAGE,4500,10,17212
15000,14925,0.14,36 months,debt_consolidation,0.13,RENT,5000,7,11368
2800,2800,0.1,36 months,major_purchase,0.12,RENT,2083.33,7,7261
7750,7750,0.16,36 months,debt_consolidation,0.27,MORTGAGE,2916.67,18,17102
4500,4500,0.09,36 months,credit_card,0.18,RENT,2166.67,8,5361
17500,17375,0.13,36 months,debt_consolidation,0.22,RENT,3666.67,7,20010
18000,18000,0.15,60 months,debt_consolidation,0.05,RENT,5258.5,6,11596
15000,14975,0.15,60 months,debt_consolidation,0.18,MORTGAGE,2748,14,7956
6000,6000,0.15,36 months,credit_card,0.2,OWN,4583.33,13,8077
11500,11475,0.11,36 months,credit_card,0.28,RENT,2750,6,9079
10000,10000,0.13,36 months,credit_card,0.08,RENT,2500,8,10906
12000,12000,0.09,36 months,credit_card,0.12,RENT,5000,5,13940
10000,10000,0.12,36 months,debt_consolidation,0.18,MORTGAGE,5000,7,13202
35000,34975,0.21,60 months,debt_consolidation,0.18,RENT,7916.67,8,19789
7200,7100,0.1,60 months,major_purchase,0.18,RENT,3000,7,2753
4000,3975,0.08,60 months,car,0.04,OWN,4000,16,6696
5300,5200,0.11,36 months,debt_consolidation,0.08,MORTGAGE,8333.33,5,73258
1200,1200,0.08,36 months,other,0.09,MORTGAGE,3833.33,14,350
2500,2500,0.11,36 months,major_purchase,0.1,RENT,4333.33,4,4922
17000,16975,0.14,36 months,debt_consolidation,0.26,OWN,7500,21,39130
16000,16000,0.08,36 months,credit_card,0.12,MORTGAGE,8416.67,14,21913
10000,9950,0.13,36 months,debt_consolidation,0.04,MORTGAGE,6666.67,8,7967
5000,5000,0.1,36 months,debt_consolidation,0.25,MORTGAGE,6250,9,33705
4375,4375,0.19,36 months,credit_card,0.09,RENT,2916.67,9,6944
8500,8475,0.06,36 months,home_improvement,0.12,MORTGAGE,6100,17,6370
12000,12000,0.17,60 months,small_business,0.15,MORTGAGE,7500,14,28589
6200,6100,0.09,36 months,other,0.19,RENT,5000,17,9367
7000,7000,0.18,36 months,debt_consolidation,0.19,MORTGAGE,2000,10,7315
20800,20800,0.13,60 months,debt_consolidation,0.07,MORTGAGE,6541.67,9,13197
19200,19200,0.13,60 months,other,0.03,MORTGAGE,8333.33,14,50625
22000,22000,0.16,60 months,debt_consolidation,0.21,MORTGAGE,5416.67,9,10267
15000,15000,0.19,36 months,debt_consolidation,0.25,RENT,6000,12,12162
7000,6965.1,0.19,36 months,debt_consolidation,0.17,RENT,5000,11,13859
20000,20000,0.09,36 months,credit_card,0.17,RENT,4916.67,10,14952
2000,2000,0.06,36 months,moving,0.18,RENT,5733.58,9,21998
18000,17738.58,0.11,60 months,major_purchase,0.15,MORTGAGE,4000,9,6718
20800,20775,0.11,36 months,home_improvement,0.22,OWN,11666.67,6,682
9000,8875,0.08,36 months,debt_consolidation,0.15,MORTGAGE,5708.33,9,12217
6000,6000,0.14,36 months,credit_card,0.23,RENT,2666.67,18,5955
5000,5000,0.16,36 months,debt_consolidation,0.34,RENT,3750,18,5414
12000,11975,0.15,60 months,credit_card,0.22,RENT,4186,9,9398
7000,1998,0.08,36 months,credit_card,0.06,MORTGAGE,7583.33,9,21135
6000,5950,0.1,36 months,major_purchase,0.09,MORTGAGE,15416.67,9,105730
17000,16975,0.14,36 months,debt_consolidation,0.18,MORTGAGE,9166.67,14,16230
12000,11975,0.09,36 months,credit_card,0.19,RENT,4750,13,25577
16350,16350,0.08,36 months,credit_card,0.25,OWN,4541.67,7,25731
20000,20000,0.08,36 months,debt_consolidation,0.2,MORTGAGE,4625,14,31335
12300,12300,0.12,36 months,debt_consolidation,0.1,RENT,6583.33,15,12450
4800,4800,0.13,36 months,moving,0.05,RENT,2666.67,3,7911
14500,14500,0.08,36 months,credit_card,0.12,RENT,4500,8,16398
4200,4200,0.09,36 months,debt_consolidation,0.1,MORTGAGE,2254,7,4490
22250,22250,0.14,36 months,credit_card,0.32,MORTGAGE,6583.33,18,44868
8000,8000,0.14,36 months,home_improvement,0.08,RENT,25000,6,28579
8325,8325,0.18,36 months,debt_consolidation,0.21,RENT,2000,7,7676
14000,14000,0.13,36 months,debt_consolidation,0.08,OWN,10416.67,4,4776
9000,9000,0.1,36 months,debt_consolidation,0.04,MORTGAGE,6000,6,5659
16000,16000,0.13,36 months,credit_card,0.18,MORTGAGE,6083.33,13,15148
15200,13694.22,0.11,36 months,credit_card,0.15,MORTGAGE,7916.67,7,217827
24000,24000,0.11,36 months,debt_consolidation,0.15,RENT,3750,5,24708
16450,16450,0.15,36 months,debt_consolidation,0.12,MORTGAGE,6666.67,8,12697
7500,7500,0.12,36 months,home_improvement,0.27,MORTGAGE,5000,8,9047
4750,4750,0.22,36 months,debt_consolidation,0.24,RENT,1333.33,9,4752
6500,6500,0.08,36 months,debt_consolidation,0.13,RENT,6750,17,33229
5500,5450,0.19,60 months,debt_consolidation,0.18,RENT,1750,6,4492
9600,9600,0.06,36 months,home_improvement,0.08,MORTGAGE,6250,7,765
12000,11975,0.12,36 months,major_purchase,0.31,OWN,4166.67,21,28703
2000,2000,0.08,36 months,other,0.17,RENT,1500,5,2925
18000,18000,0.25,60 months,moving,0.15,RENT,4000,10,7377
5825,5825,0.12,36 months,home_improvement,0.04,OWN,3750,4,5643
2500,2500,0.15,36 months,home_improvement,0.23,RENT,2530,7,5276
7200,7200,0.2,60 months,other,0.02,RENT,5500,13,2130
8000,8000,0.14,36 months,other,0.12,RENT,3941.58,15,9660
25000,24675,0.21,60 months,home_improvement,0.19,MORTGAGE,6000,17,12757
2500,2500,0.14,36 months,medical,0.21,RENT,2666.67,9,15787
20000,2050,0.13,36 months,home_improvement,0.01,MORTGAGE,3500,6,1954
6250,6250,0.13,36 months,debt_consolidation,0.29,RENT,1779.17,19,7455
12375,12375,0.14,36 months,debt_consolidation,0.22,MORTGAGE,2083.33,8,12226
18000,18000,0.1,36 months,debt_consolidation,0.17,MORTGAGE,6666.67,16,19850
3300,3300,0.07,36 months,other,0.2,RENT,3333.33,10,0
21000,21000,0.18,60 months,other,0.16,MORTGAGE,8833.33,11,29293
24575,24575,0.16,36 months,debt_consolidation,0.2,MORTGAGE,5250,8,20858
5000,4900,0.08,36 months,other,0.14,RENT,5166.67,8,15489
20000,20000,0.16,36 months,debt_consolidation,0.24,MORTGAGE,5833.33,14,12696
13250,13250,0.07,36 months,debt_consolidation,0.29,MORTGAGE,5750,12,7174
10000,9975,0.09,36 months,major_purchase,0.03,MORTGAGE,10167,9,16
20000,19950,0.11,36 months,debt_consolidation,0.11,RENT,8416.67,10,12283
10000,10000,0.08,36 months,debt_consolidation,0.14,MORTGAGE,4166.67,8,8455
12000,12000,0.12,36 months,debt_consolidation,0.15,MORTGAGE,5000,11,13235
8000,7950,0.08,36 months,home_improvement,0.13,MORTGAGE,3500,8,6834
11000,10950,0.09,36 months,credit_card,0.22,MORTGAGE,4200,6,8694
12500,12425,0.07,36 months,debt_consolidation,0.14,RENT,8237.5,15,13261
7500,212,0.11,36 months,credit_card,0.11,MORTGAGE,3750,15,5148
4825,4825,0.1,36 months,debt_consolidation,0.15,RENT,2400,14,6109
7550,7550,0.17,36 months,other,0.22,RENT,2880,2,1989
8000,7827.03,0.14,36 months,other,0.2,RENT,4000,7,2082
6000,6000,0.14,36 months,debt_consolidation,0.16,RENT,5083.33,11,10373
8000,8000,0.16,60 months,major_purchase,0.02,RENT,5291.67,4,1252
3000,3000,0.15,36 months,debt_consolidation,0.24,MORTGAGE,5000,6,5527
8000,7997.79,0.16,36 months,debt_consolidation,0.16,RENT,3750,8,7374
8400,8400,0.06,36 months,credit_card,0.09,OWN,3000,6,6215
35000,35000,0.15,36 months,medical,0.12,MORTGAGE,14166.67,7,103354
15000,15000,0.08,36 months,credit_card,0.22,OWN,5000,8,21555
7500,7475,0.11,36 months,home_improvement,0.08,MORTGAGE,7083.33,9,2245
24000,23665.54,0.1,60 months,debt_consolidation,0.17,RENT,7695.08,6,1502
21000,20975,0.21,60 months,debt_consolidation,0.18,MORTGAGE,8083.33,11,31080
6000,6000,0.08,36 months,debt_consolidation,0.09,RENT,8315.67,8,6239
4500,4500,0.07,36 months,major_purchase,0.01,MORTGAGE,65000,7,3015
29000,29000,0.18,36 months,debt_consolidation,0.16,RENT,7666.67,11,23319
20000,20000,0.15,36 months,debt_consolidation,0.27,RENT,5250,11,11343
7000,7000,0.1,36 months,debt_consolidation,0.11,MORTGAGE,4341.67,11,13638
5000,4950,0.1,36 months,other,0.01,RENT,2916.67,2,165
6000,6000,0.17,36 months,debt_consolidation,0.07,MORTGAGE,4025.67,6,6652
10000,10000,0.15,36 months,wedding,0.04,RENT,4480,9,7614
3200,3200,0.17,36 months,other,0.01,RENT,2917,4,1427
23000,23000,0.18,36 months,debt_consolidation,0.26,MORTGAGE,6625,17,19870
5000,1750.04,0.12,36 months,other,0.1,RENT,3416.67,17,15301
3000,3000,0.13,36 months,debt_consolidation,0.03,RENT,2083.33,3,844
12000,11975,0.11,60 months,debt_consolidation,0.18,RENT,3500,11,18808
20000,19975,0.14,60 months,debt_consolidation,0.31,RENT,4166.67,9,8810
1200,1200,0.16,36 months,debt_consolidation,0.27,RENT,2166.67,9,9076
8000,8000,0.07,36 months,credit_card,0.05,MORTGAGE,3000,5,6084
10000,9975,0.16,60 months,credit_card,0.18,MORTGAGE,5416.67,10,41329
11000,11000,0.13,36 months,other,0.22,MORTGAGE,7916.67,9,34314
18000,18000,0.16,36 months,credit_card,0.18,MORTGAGE,5250,11,9379
24000,23975,0.17,60 months,small_business,0.09,RENT,5000,4,323
8000,7925,0.19,60 months,other,0.1,MORTGAGE,5002.33,7,8421
6000,6000,0.12,36 months,other,0.21,RENT,3100,18,10426
35000,34950,0.17,36 months,debt_consolidation,0.23,RENT,6750,15,24626
1000,750,0.1,36 months,renewable_energy,0,MORTGAGE,1800,2,0
10000,10000,0.15,36 months,credit_card,0.28,RENT,3750,19,19385
6000,6000,0.16,36 months,medical,0.08,RENT,5000,7,14784
4000,4000,0.06,36 months,car,0.13,RENT,2916.67,7,2860
20000,20000,0.12,60 months,debt_consolidation,0.11,MORTGAGE,5416.67,10,20836
3500,690.34,0.14,36 months,medical,0.1,OTHER,3750,8,9771
24000,24000,0.2,60 months,debt_consolidation,0.03,RENT,8333.33,8,8224
8000,8000,0.14,36 months,debt_consolidation,0.14,RENT,3500,7,5074
12000,12000,0.07,36 months,credit_card,0.14,MORTGAGE,7125,15,20639
17600,17600,0.09,36 months,debt_consolidation,0.17,MORTGAGE,4166.67,8,235
5000,512.46,0.13,36 months,debt_consolidation,0.16,RENT,3333,11,14244
8000,8000,0.19,60 months,educational,0.06,RENT,2500,5,5770
10000,9850,0.1,36 months,debt_consolidation,0.17,MORTGAGE,4500,8,6948
16800,16800,0.07,36 months,debt_consolidation,0.04,OWN,16083.33,5,13470
6500,6450,0.1,60 months,home_improvement,0.07,MORTGAGE,2738.67,10,2345
35000,35000,0.08,36 months,home_improvement,0.21,MORTGAGE,12083.33,10,28864
9950,9950,0.14,36 months,debt_consolidation,0.04,MORTGAGE,4800,9,5038
5000,5000,0.1,36 months,debt_consolidation,0.29,RENT,3166.67,3,0
10000,10000,0.19,60 months,debt_consolidation,0.28,RENT,3726.67,23,10067
6000,6000,0.13,36 months,debt_consolidation,0.2,MORTGAGE,5833.33,6,5523
35000,35000,0.08,36 months,debt_consolidation,0.2,MORTGAGE,12083.33,15,35242
5600,5600,0.08,36 months,debt_consolidation,0.17,RENT,1916.67,8,3373
17000,17000,0.08,36 months,small_business,0.06,RENT,6250,4,1352
15000,15000,0.13,60 months,debt_consolidation,0.17,RENT,5666.67,13,10855
3000,3000,0.11,36 months,small_business,0.02,MORTGAGE,7750,7,874
12000,12000,0.18,36 months,credit_card,0.1,RENT,3083.33,10,4390
25000,25000,0.14,36 months,debt_consolidation,0.15,MORTGAGE,9000,11,22364
31075,31050,0.2,36 months,credit_card,0.26,OWN,6000,20,27221
4750,4750,0.14,60 months,debt_consolidation,0.23,RENT,1500,11,1687
6400,6375,0.12,36 months,credit_card,0.15,RENT,4166.67,7,15055
25000,25000,0.1,36 months,debt_consolidation,0.15,RENT,5500,9,11395
5000,4975,0.06,36 months,major_purchase,0.06,MORTGAGE,12083.33,10,792
12000,12000,0.12,60 months,home_improvement,0.04,MORTGAGE,3583.33,5,3942
20000,20000,0.2,36 months,debt_consolidation,0.14,MORTGAGE,7965,18,18809
10000,10000,0.16,36 months,debt_consolidation,0.13,RENT,4416.67,9,23870
9750,9750,0.2,36 months,other,0.11,RENT,3033.33,13,8688
10000,10000,0.14,36 months,debt_consolidation,0.15,MORTGAGE,6000,13,8178
3000,2057.84,0.1,36 months,small_business,0.04,OWN,4350,3,8414
25000,25000,0.2,60 months,debt_consolidation,0.01,MORTGAGE,5666.67,6,92
5000,5000,0.14,36 months,other,0.19,MORTGAGE,8583,9,8097
6500,6500,0.06,36 months,credit_card,0.23,MORTGAGE,6400,11,7435
8325,8325,0.15,36 months,debt_consolidation,0.15,RENT,2916.67,13,7171
20000,20000,0.15,60 months,small_business,0.14,MORTGAGE,8333.33,15,22246
12000,12000,0.12,36 months,credit_card,0.2,MORTGAGE,5166.67,9,10054
9500,9475,0.1,60 months,small_business,0.14,MORTGAGE,5000,10,46358
12000,11862.38,0.06,60 months,debt_consolidation,0.22,MORTGAGE,4166.67,12,14464
7200,7200,0.11,60 months,debt_consolidation,0.17,RENT,2944,11,5459
8500,8500,0.1,36 months,credit_card,0.11,MORTGAGE,6091.83,18,10568
17475,17475,0.19,60 months,debt_consolidation,0.23,MORTGAGE,4583.33,13,15852
10000,10000,0.12,36 months,home_improvement,0.13,MORTGAGE,3113.83,9,6634
18000,17975,0.22,60 months,house,0.02,RENT,4583.33,6,4243
4800,4775,0.05,36 months,medical,0.2,MORTGAGE,7466.83,19,13461
5000,5000,0.08,36 months,wedding,0.16,MORTGAGE,2298.75,10,12346
20000,19925,0.12,36 months,credit_card,0.1,RENT,3750,6,15762
12300,12300,0.15,36 months,debt_consolidation,0.19,MORTGAGE,5000,13,4460
28000,27950,0.23,60 months,debt_consolidation,0.1,MORTGAGE,6125,11,18101
1675,1675,0.11,36 months,debt_consolidation,0.05,RENT,2080,4,1466
7500,7500,0.17,36 months,car,0.05,RENT,4000,3,8398
9200,9200,0.13,36 months,debt_consolidation,0.15,MORTGAGE,12833.33,12,17391
8000,8000,0.16,36 months,credit_card,0.11,MORTGAGE,4583.33,13,4084
5000,5000,0.11,36 months,moving,0.23,RENT,2000,8,8339
19125,19125,0.18,60 months,other,0.16,OWN,3333.33,8,7858
5075,5050,0.06,36 months,debt_consolidation,0.2,MORTGAGE,5000,9,269
7000,6975,0.1,36 months,debt_consolidation,0.23,MORTGAGE,3275,8,14075
